name_norm,position,player,team,pass_tds,pass_yards,rec_tds,rec_yards,receptions,rush_tds,rush_yards,interceptions,base_pts,season_pts,ppg,rec_pg,pass_yards_pg,rush_yards_pg,ypr,td_dependence,bbvor,p90,cv,skew,kurtosis
kyle pitts,TE,Kyle Pitts,ATL,0.0,0.0,4.5,750.5,64.2212107419208,0.0,0.0,0.0,166.2712107419208,168.04905097440198,9.88523829261188,3.7777182789365176,0.0,0.0,11.686170212765958,0.16066737564684472,59.17011878406827,203.89728130292943,0.6384393020583187,1.0153747849626322,1.5138692960187923
parker washington,WR,Parker Washington,JAX,0.0,0.0,4.5,800.5,61.98173849525201,0.0,0.0,0.0,169.03173849525203,173.55362338440133,10.209036669670667,3.6459846173677652,0.0,0.0,12.915094339622641,0.1555715142875358,58.903805463316445,211.83219353552292,0.6847671594832999,1.2985367797532263,2.7863428774809567
jaxson dart,QB,Jaxson Dart,NYG,19.5,3125.5,0.0,0.0,0.0,5.5,463.0,6.878301056338029,275.441698943662,285.63637673948364,16.80213980820492,0.0,183.85294117647058,27.235294117647058,0.0,0.3886059656233429,58.19270994565876,323.7003884370587,0.43498319774751043,0.1035635253545826,-0.20232466477875866
courtland sutton,WR,Courtland Sutton,DEN,0.0,0.0,6.5,725.5,54.09651567944251,0.0,0.0,0.0,165.6465156794425,170.07784013282108,10.004578831342416,3.182147981143677,0.0,0.0,13.411214953271028,0.22930676900378807,58.05597780880307,207.49525131740887,0.6969827294840412,0.9344853911458141,0.906499438834973
josh downs,WR,Josh Downs,IND,0.0,0.0,3.9862149532710283,775.5,67.47511417485578,0.0,0.0,0.0,168.94240389448197,173.46189893196853,10.203641113645208,3.9691243632268103,0.0,0.0,11.493126161896674,0.13788209322559353,57.35122033357498,208.22609705422988,0.6510958382341946,1.069274429504841,1.8494332030823983
jaylen warren,RB,Jaylen Warren,PIT,0.0,0.0,0.6666666666666666,337.6666666666667,46.333333333333336,2.992898357745229,613.0,0.0,163.3573901464714,167.4993071782511,9.852900422250064,2.7254901960784315,0.0,36.05882352941177,7.287769784172662,0.13108943861543582,56.96468935744959,202.28783692065892,0.6571114105474708,0.8754867179612038,0.863557159580091
carnell tate,WR,Carnell Tate,TEN,0.0,0.0,4.5,775.5,61.547619047619044,0.0,0.0,0.0,166.09761904761905,170.5410112790502,10.031824192885306,3.6204481792717083,0.0,0.0,12.600000000000001,0.15831968977726338,56.69342678732597,207.85899145823757,0.6797987593562794,1.1223426379601051,1.657199336914183
christian watson,WR,Christian Watson,GB,0.0,0.0,5.5,763.0,50.87184653476793,0.0,0.0,0.0,160.17184653476792,164.45671432918544,9.673924372305025,2.9924615608687017,0.0,0.0,14.998472671490982,0.20066070354503993,55.97918341094688,204.81689318016575,0.7352391533637871,1.0040318782964093,0.940988119716244
baker mayfield,QB,Baker Mayfield,TB,25.5,3500.5,0.0,0.0,0.0,1.4302933725586338,264.0321565743238,10.584170956933889,266.4208049358503,276.28160043210517,16.251858848947364,0.0,205.91176470588235,15.531303327901398,0.0,0.40025017975283783,55.36786163942916,315.51618426283227,0.4715644119864672,0.23803874432848598,-0.004281188886640308
tucker kraft,TE,Tucker Kraft,GB,0.0,0.0,5.5,700.5,53.25927120358598,0.0,0.0,0.0,156.30927120358598,157.98059427758992,9.292976133975877,3.132898306093293,0.0,0.0,13.15263960939884,0.20888641513789497,55.33824717802137,195.19292503275238,0.7071474748943383,1.1783468545912135,1.7921768329769838
michael pittman,WR,Michael Pittman Jr.,PIT,0.0,0.0,4.5,725.5,63.12468772902368,0.0,0.0,0.0,162.67468772902367,167.02651075845796,9.825088868144586,3.713216925236687,0.0,0.0,11.493126161896674,0.16165098508850195,55.115481576059906,204.58787178190155,0.680243523025738,1.0903225073877043,1.5752967729385121
george kittle,TE,George Kittle,SF,0.0,0.0,5.5,700.5,53.25927120358598,0.0,0.0,0.0,156.30927120358598,157.98059427758992,9.292976133975877,3.132898306093293,0.0,0.0,13.15263960939884,0.20888641513789497,54.997621115415114,193.40456180131622,0.7071474748943383,1.1783468545912135,1.7921768329769838
